Learning rate: 0.001, Optimizer: SGD, Scheduler: ExponentialLR
Epoch = 24, validation_Loss = 2.824661374092102, Accuracy validation= 66.66666666666667
Epoch = 25, lr = [6.304904523214554e-05, 0.0]
Epoch = 25, Epoch_Loss = 2.4473385572433473, Accuracy = 81.08108108108108
Epoch = 25, validation_Loss = 2.8270591100056968, Accuracy validation= 66.66666666666667
Epoch = 26, lr = [5.645022209082803e-05, 0.0]
Epoch = 26, Epoch_Loss = 2.444825029373169, Accuracy = 81.08108108108108
Epoch = 26, validation_Loss = 2.8285791476567588, Accuracy validation= 66.66666666666667
Epoch = 27, lr = [5.054204329931879e-05, 0.0]
Epoch = 27, Epoch_Loss = 2.442594623565674, Accuracy = 81.08108108108108
Epoch = 27, validation_Loss = 2.8301874001820884, Accuracy validation= 66.66666666666667
Epoch = 28, lr = [4.525222481428054e-05, 0.0]
Epoch = 28, Epoch_Loss = 2.440553903579712, Accuracy = 81.08108108108108
Epoch = 28, validation_Loss = 2.8316202561060586, Accuracy validation= 66.66666666666667
Epoch = 29, lr = [4.0516047966540905e-05, 0.0]
Epoch = 29, Epoch_Loss = 2.43874933719635, Accuracy = 81.08108108108108
Epoch = 29, validation_Loss = 2.8323360681533813, Accuracy validation= 66.66666666666667
Epoch = 30, lr = [3.6275567655825144e-05, 0.0]
Epoch = 30, Epoch_Loss = 2.437143421173096, Accuracy = 81.08108108108108
Epoch = 30, validation_Loss = 2.8339121341705322, Accuracy validation= 66.66666666666667
Epoch = 31, lr = [3.247890341721044e-05, 0.0]
Epoch = 31, Epoch_Loss = 2.4356323003768923, Accuracy = 81.08108108108108
Epoch = 31, validation_Loss = 2.835554043451945, Accuracy validation= 66.66666666666667
Epoch = 32, lr = [2.9079604685802658e-05, 0.0]
Epoch = 32, Epoch_Loss = 2.4343161582946777, Accuracy = 81.08108108108108
Epoch = 32, validation_Loss = 2.836347063382467, Accuracy validation= 66.66666666666667
Epoch = 33, lr = [2.6036082493920138e-05, 0.0]
Epoch = 33, Epoch_Loss = 2.4331381916999817, Accuracy = 81.08108108108108
Epoch = 33, validation_Loss = 2.836157520612081, Accuracy validation= 66.66666666666667
Epoch = 34, lr = [2.3311100647842383e-05, 0.0]
Epoch = 34, Epoch_Loss = 2.432081460952759, Accuracy = 81.08108108108108
Epoch = 34, validation_Loss = 2.837034265200297, Accuracy validation= 66.66666666666667
Epoch = 35, lr = [2.087132015888843e-05, 0.0]
Epoch = 35, Epoch_Loss = 2.4311636209487917, Accuracy = 81.08108108108108
Epoch = 35, validation_Loss = 2.8382942279179892, Accuracy validation= 66.66666666666667
Epoch = 36, lr = [1.8686891355133923e-05, 0.0]
Epoch = 36, Epoch_Loss = 2.4303078413009644, Accuracy = 81.08108108108108
Epoch = 36, validation_Loss = 2.839316169420878, Accuracy validation= 66.66666666666667
Epoch = 37, lr = [1.6731088683427904e-05, 0.0]
Epoch = 37, Epoch_Loss = 2.4295642256736754, Accuracy = 81.08108108108108
Epoch = 37, validation_Loss = 2.8396705389022827, Accuracy validation= 66.66666666666667
Epoch = 38, lr = [1.4979983733668105e-05, 0.0]
Epoch = 38, Epoch_Loss = 2.4288576245307922, Accuracy = 81.08108108108108
Epoch = 38, validation_Loss = 2.8404064575831094, Accuracy validation= 66.66666666666667
Epoch = 39, lr = [1.3412152484926368e-05, 0.0]
Epoch = 39, Epoch_Loss = 2.428253650665283, Accuracy = 81.08108108108108
Epoch = 39, validation_Loss = 2.841233571370443, Accuracy validation= 66.66666666666667
Epoch = 40, lr = [1.200841319170568e-05, 0.0]
Epoch = 40, Epoch_Loss = 2.4276840686798096, Accuracy = 81.08108108108108
Epoch = 40, validation_Loss = 2.8414307037989297, Accuracy validation= 66.66666666666667
Epoch = 41, lr = [1.0751591703479104e-05, 0.0]
Epoch = 41, Epoch_Loss = 2.4271846652030944, Accuracy = 81.08108108108108
Epoch = 41, validation_Loss = 2.841691335042318, Accuracy validation= 66.66666666666667
Epoch = 42, lr = [9.626311346295478e-06, 0.0]
Epoch = 42, Epoch_Loss = 2.42673602104187, Accuracy = 81.08108108108108
Epoch = 42, validation_Loss = 2.8423397541046143, Accuracy validation= 66.66666666666667
Epoch = 43, lr = [8.618804795743068e-06, 0.0]
Epoch = 43, Epoch_Loss = 2.4263333320617675, Accuracy = 81.08108108108108
Epoch = 43, validation_Loss = 2.8426408767700195, Accuracy validation= 66.66666666666667
Epoch = 44, lr = [7.71674563961725e-06, 0.0]
Epoch = 44, Epoch_Loss = 2.425971043109894, Accuracy = 81.08108108108108
Epoch = 44, validation_Loss = 2.8428802490234375, Accuracy validation= 66.66666666666667
Epoch = 45, lr = [6.90909756953347e-06, 0.0]
Epoch = 45, Epoch_Loss = 2.4256461381912233, Accuracy = 81.08108108108108
Epoch = 45, validation_Loss = 2.8431556224823, Accuracy validation= 66.66666666666667
Epoch = 46, lr = [6.185979356409238e-06, 0.0]
Epoch = 46, Epoch_Loss = 2.4253565430641175, Accuracy = 81.08108108108108
Epoch = 46, validation_Loss = 2.8434387842814126, Accuracy validation= 66.66666666666667
Epoch = 47, lr = [5.538543957847904e-06, 0.0]
Epoch = 47, Epoch_Loss = 2.4250964641571047, Accuracy = 81.08108108108108
Epoch = 47, validation_Loss = 2.843648672103882, Accuracy validation= 66.66666666666667
Epoch = 48, lr = [4.958870278354704e-06, 0.0]
Epoch = 48, Epoch_Loss = 2.424866247177124, Accuracy = 81.08108108108108
Epoch = 48, validation_Loss = 2.843799432118734, Accuracy validation= 66.66666666666667
Epoch = 49, lr = [4.439866258117536e-06, 0.0]
Epoch = 49, Epoch_Loss = 2.4246520161628724, Accuracy = 81.08108108108108
Epoch = 49, validation_Loss = 2.8439470132191977, Accuracy validation= 66.66666666666667
Epoch = 50, lr = [3.9751821046851336e-06, 0.0]
Epoch = 50, Epoch_Loss = 2.424466049671173, Accuracy = 81.08108108108108
Epoch = 50, validation_Loss = 2.844103535016378, Accuracy validation= 66.66666666666667
Epoch = 51, lr = [3.559132605969278e-06, 0.0]
Epoch = 51, Epoch_Loss = 2.42429940700531, Accuracy = 81.08108108108108
Epoch = 51, validation_Loss = 2.8441901206970215, Accuracy validation= 66.66666666666667
Epoch = 52, lr = [3.186627574103809e-06, 0.0]
Epoch = 52, Epoch_Loss = 2.424149549007416, Accuracy = 81.08108108108108
Epoch = 52, validation_Loss = 2.8442660172780356, Accuracy validation= 66.66666666666667
Epoch = 53, lr = [2.8531095691707925e-06, 0.0]
Epoch = 53, Epoch_Loss = 2.4240142107009888, Accuracy = 81.08108108108108
Epoch = 53, validation_Loss = 2.844398578008016, Accuracy validation= 66.66666666666667
Epoch = 54, lr = [2.5544981408702157e-06, 0.0]
Epoch = 54, Epoch_Loss = 2.423893964290619, Accuracy = 81.08108108108108
Epoch = 54, validation_Loss = 2.8445271253585815, Accuracy validation= 66.66666666666667
