Learning rate: 0.001, Optimizer: Adam, Scheduler: NoneType
100 epochs in total, 108 batches per epoch
Epoch = 50, Acc = 0.7421150278293135
Epoch = 50, Epoch_Loss = 0.32806785824639656
Epoch = 51, lr = 0.001
Epoch = 51, Acc = 0.7421150278293135
Epoch = 51, Epoch_Loss = 0.30395814381470837
Epoch = 52, lr = 0.001
Epoch = 52, Acc = 0.7421150278293135
Epoch = 52, Epoch_Loss = 0.2825827421448021
Epoch = 53, lr = 0.001
Epoch = 53, Acc = 0.7421150278293135
Epoch = 53, Epoch_Loss = 0.2636112790572009
Epoch = 54, lr = 0.001
Epoch = 54, Acc = 0.7421150278293135
Epoch = 54, Epoch_Loss = 0.2459652790437556
Epoch = 55, lr = 0.001
Epoch = 55, Acc = 0.7421150278293135
Epoch = 55, Epoch_Loss = 0.23099570569616776
Epoch = 56, lr = 0.001
Epoch = 56, Acc = 0.7421150278293135
Epoch = 56, Epoch_Loss = 0.22078911415991131
Epoch = 57, lr = 0.001
Epoch = 57, Acc = 0.7421150278293135
Epoch = 57, Epoch_Loss = 0.22567353288953504
Epoch = 58, lr = 0.001
Epoch = 58, Acc = 0.0
Epoch = 58, Epoch_Loss = 1.3923088891466182
Epoch = 59, lr = 0.001
Epoch = 59, Acc = 0.7421150278293135
Epoch = 59, Epoch_Loss = 2.147636370457433
Epoch = 60, lr = 0.001
Epoch = 60, Acc = 0.7421150278293135
Epoch = 60, Epoch_Loss = 0.760741971295189
Epoch = 61, lr = 0.001
Epoch = 61, Acc = 0.7421150278293135
Epoch = 61, Epoch_Loss = 0.34110511204710714
Epoch = 62, lr = 0.001
Epoch = 62, Acc = 0.7421150278293135
Epoch = 62, Epoch_Loss = 0.251207087378673
Epoch = 63, lr = 0.001
Epoch = 63, Acc = 0.7421150278293135
Epoch = 63, Epoch_Loss = 0.21086311864632148
Epoch = 64, lr = 0.001
Epoch = 64, Acc = 0.7421150278293135
Epoch = 64, Epoch_Loss = 0.18614734639413655
Epoch = 65, lr = 0.001
Epoch = 65, Acc = 0.7421150278293135
Epoch = 65, Epoch_Loss = 0.1728253049939802
Epoch = 66, lr = 0.001
Epoch = 66, Acc = 0.7421150278293135
Epoch = 66, Epoch_Loss = 0.16218415375247044
Epoch = 67, lr = 0.001
Epoch = 67, Acc = 0.7421150278293135
Epoch = 67, Epoch_Loss = 0.15305545584177943
Epoch = 68, lr = 0.001
Epoch = 68, Acc = 0.7421150278293135
Epoch = 68, Epoch_Loss = 0.14498272003105808
Epoch = 69, lr = 0.001
Epoch = 69, Acc = 0.7421150278293135
Epoch = 69, Epoch_Loss = 0.13765080094647905
Epoch = 70, lr = 0.001
Epoch = 70, Acc = 0.7421150278293135
Epoch = 70, Epoch_Loss = 0.13088736478325533
Epoch = 71, lr = 0.001
Epoch = 71, Acc = 0.7421150278293135
Epoch = 71, Epoch_Loss = 0.12457543316823258
Epoch = 72, lr = 0.001
Epoch = 72, Acc = 0.7421150278293135
Epoch = 72, Epoch_Loss = 0.11863796612791096
Epoch = 73, lr = 0.001
Epoch = 73, Acc = 0.7421150278293135
Epoch = 73, Epoch_Loss = 0.11302295482622597
Epoch = 74, lr = 0.001
Epoch = 74, Acc = 0.7421150278293135
Epoch = 74, Epoch_Loss = 0.10769274020007018
Epoch = 75, lr = 0.001
Epoch = 75, Acc = 0.7421150278293135
Epoch = 75, Epoch_Loss = 0.10261331817471525
Epoch = 76, lr = 0.001
Epoch = 76, Acc = 0.7421150278293135
Epoch = 76, Epoch_Loss = 0.0977602126874478
Epoch = 77, lr = 0.001
Epoch = 77, Acc = 0.7421150278293135
Epoch = 77, Epoch_Loss = 0.09311863283747462
Epoch = 78, lr = 0.001
Epoch = 78, Acc = 0.7421150278293135
Epoch = 78, Epoch_Loss = 0.08867734441688906
Epoch = 79, lr = 0.001
Epoch = 79, Acc = 0.7421150278293135
Epoch = 79, Epoch_Loss = 0.0844238114303961
Epoch = 80, lr = 0.001
Epoch = 80, Acc = 0.7421150278293135
Epoch = 80, Epoch_Loss = 0.08035141288591721
Epoch = 81, lr = 0.001
Epoch = 81, Acc = 0.7421150278293135
Epoch = 81, Epoch_Loss = 0.07645586585837279
Epoch = 82, lr = 0.001
Epoch = 82, Acc = 0.7421150278293135
Epoch = 82, Epoch_Loss = 0.07272301413144709
Epoch = 83, lr = 0.001
Epoch = 83, Acc = 0.7421150278293135
Epoch = 83, Epoch_Loss = 0.06915200404128646
Epoch = 84, lr = 0.001
Epoch = 84, Acc = 0.7421150278293135
Epoch = 84, Epoch_Loss = 0.06574093717736779
Epoch = 85, lr = 0.001
