Epoch,training_loss,validation_loss,training acc,validation acc
0,3.6256010135014853,0.683790534734726,62.16216216216216,66.66666666666667
1,3.4176651537418365,0.6437107026576996,37.83783783783784,66.66666666666667
2,1.7003429929415386,0.6407598257064819,67.56756756756756,66.66666666666667
3,1.126566357910633,0.7558641135692596,59.45945945945946,33.333333333333336
4,1.4204935034116108,0.6165446639060974,64.86486486486487,66.66666666666667
5,0.8897146458427111,0.719752162694931,62.16216216216216,33.333333333333336
6,0.5189211517572403,0.6529455482959747,75.67567567567568,66.66666666666667
7,0.60819311439991,0.6581032276153564,72.97297297297297,66.66666666666667
8,0.4837985181560119,0.6728465259075165,75.67567567567568,66.66666666666667
9,0.21331822127103806,0.7207162976264954,97.29729729729729,58.333333333333336
10,0.46157101665933925,0.6878364384174347,86.48648648648648,58.333333333333336
11,0.4142279823621114,0.6325784623622894,81.08108108108108,66.66666666666667
12,0.504733062038819,0.6637948900461197,75.67567567567568,75.0
13,1.2533319393793743,0.9348161220550537,72.97297297297297,66.66666666666667
14,0.9558648069699606,0.7093006372451782,54.054054054054056,50.0
15,0.3070823247738493,0.9381081759929657,83.78378378378379,75.0
16,1.2067891210317612,0.733237886801362,70.27027027027027,75.0
17,0.6567187098165354,0.7199795544147491,70.27027027027027,75.0
18,0.44893060841908056,0.6258901655673981,81.08108108108108,75.0
19,0.4111536741256714,0.6316026598215103,81.08108108108108,75.0
20,0.146007706100742,0.6240690350532532,94.5945945945946,75.0
21,0.14268060897787413,0.5592681765556335,94.5945945945946,75.0
22,0.2541264865236978,0.6373570114374161,89.1891891891892,75.0
23,0.30696823820471764,0.5650781542062759,91.89189189189189,75.0
24,0.23947864274183908,0.5864027738571167,91.89189189189189,75.0
25,0.4277210881312688,0.5715296864509583,78.37837837837837,83.33333333333333
26,0.24457388309141,0.582277238368988,89.1891891891892,66.66666666666667
27,0.2790783829987049,0.5622467249631882,91.89189189189189,75.0
28,0.1984653864055872,0.6581922024488449,91.89189189189189,75.0
29,0.19710149243474007,0.6152635216712952,94.5945945945946,75.0
30,0.2546354476362467,0.6124753057956696,91.89189189189189,75.0
31,0.27621981004873913,0.6844633668661118,91.89189189189189,75.0
32,0.14686638675630093,0.6716913282871246,91.89189189189189,75.0
33,0.1708961476882299,0.6027054786682129,94.5945945945946,75.0
34,0.18114947030941644,0.549876868724823,89.1891891891892,75.0
35,0.24896070857842764,0.54091477394104,89.1891891891892,75.0
36,0.2419545774658521,0.6089384257793427,89.1891891891892,75.0
37,0.20528765643636385,0.6670538485050201,94.5945945945946,75.0
38,0.20294151517252126,0.6891682222485542,91.89189189189189,75.0
39,0.1340701806669434,0.6181331872940063,97.29729729729729,75.0
40,0.2530126540611188,0.5789275467395782,91.89189189189189,75.0
41,0.14599269395694137,0.5566177219152451,94.5945945945946,75.0
42,0.2839568257331848,0.6166642308235168,91.89189189189189,75.0
43,0.1807927107438445,0.6105872392654419,91.89189189189189,75.0
44,0.1729107859234015,0.5556545183062553,86.48648648648648,75.0
45,0.21693234952787557,0.5847632437944412,97.29729729729729,75.0
46,0.28563551294306916,0.5729901939630508,94.5945945945946,75.0
47,0.13578411440054575,0.6638861149549484,94.5945945945946,75.0
48,0.14581087293724218,0.627874031662941,97.29729729729729,75.0
49,0.24638010809818903,0.5751908272504807,86.48648648648648,75.0
