Epoch,training_loss,validation_loss
0,1.097334480753132,0.6931471824645996
1,0.6842324955790651,0.6931471824645996
2,0.6726311730841795,0.6931471824645996
3,0.6640478945976379,0.6931471824645996
4,0.6586765018383077,0.6931471824645996
5,0.655846639682411,0.6931471824645996
6,0.6544536279660522,0.6931471824645996
7,0.6528916672766939,0.6931471824645996
8,0.6500990517053973,0.6931471824645996
9,0.6401727037234962,0.6500219901402792
10,0.6360434611341071,0.6484583616256714
11,0.6412279952280954,0.6931471824645996
12,0.6367678938350211,0.6931471824645996
13,0.634559232730181,0.6931471824645996
14,0.6340890294055035,0.6924671332041422
15,0.6346411767858537,0.6931471824645996
16,0.6341190331164113,0.6931471824645996
17,0.6339363125261311,0.6931471824645996
18,0.6350517142655364,0.6931471824645996
19,0.6342986936124005,0.6931471824645996
20,0.6342616577178477,0.6931471824645996
21,0.6345878723870698,0.6931471824645996
22,0.634724607138196,0.6931471824645996
23,0.634125077891547,0.6931471824645996
24,0.6342995432901708,0.6931471824645996
25,0.6343309129211668,0.6931471824645996
26,0.634061753526718,0.6931471824645996
27,0.6342305983553695,0.6931471824645996
28,0.6340409473963448,0.6931471824645996
29,0.6340476026913772,0.6931471824645996
30,0.6340476721662152,0.6931471824645996
31,0.6340432696411952,0.6931471824645996
32,0.6340004012933659,0.6931471824645996
33,0.6340350055389161,0.6931471824645996
34,0.6341865829251451,0.6931471824645996
35,0.6340128978789674,0.6931471824645996
36,0.6340408305153616,0.6931471824645996
37,0.6339824566692935,0.6931471824645996
38,0.6340160675543159,0.6931471824645996
39,0.6340698314181246,0.6931471824645996
40,0.6339846753530141,0.6931471824645996
41,0.6340023414859567,0.6931471824645996
42,0.6339806779744286,0.6931471824645996
43,0.6340161641328094,0.6931471824645996
44,0.6340264645941537,0.6931471824645996
45,0.6341141628209324,0.6931471824645996
46,0.6339736216366018,0.6931471824645996
47,0.6340774331662996,0.6931471824645996
48,0.6339494325311891,0.6931471824645996
49,0.6339484981321684,0.6931471824645996
50,0.6341638855559651,0.6931471824645996
51,0.634029571487404,0.6931471824645996
52,0.6339669110237475,0.6931471824645996
53,0.6339330303830245,0.6931471824645996
54,0.6340096215643308,0.6931471824645996
55,0.6339570224030039,0.6931471824645996
56,0.634061476816914,0.6931471824645996
57,0.6340632147461578,0.6931471824645996
58,0.633962089451362,0.6931471824645996
59,0.6339624971208419,0.6931471824645996
60,0.63397954362339,0.6931471824645996
61,0.6339715981545547,0.6931471824645996
62,0.6340303825324073,0.6931471824645996
63,0.6339375366047071,0.6931471824645996
64,0.6339594957620754,0.6931471824645996
65,0.633985588607246,0.6931471824645996
66,0.6339525712366381,0.6931471824645996
67,0.6340046656881825,0.6931471824645996
68,0.6339593028567512,0.6931471824645996
69,0.6339032988254593,0.6931471824645996
70,0.6339074144948516,0.6931471824645996
71,0.6340238051934113,0.6931471824645996
72,0.6340566652954793,0.6931471824645996
73,0.6340732597004093,0.6931471824645996
74,0.633934928350808,0.6931471824645996
75,0.6339137975101395,0.6931471824645996
76,0.6339446222529446,0.6931471824645996
77,0.6339053623041585,0.6931471824645996
78,0.6339384136474965,0.6931471824645996
79,0.6339430870892315,0.6931471824645996
80,0.6341832109987188,0.6931471824645996
81,0.6339827600350677,0.6931471824645996
82,0.6338884499949499,0.6931471824645996
83,0.6340060943372973,0.6931471824645996
84,0.6339535131387404,0.6931471824645996
85,0.6340223655615952,0.6931471824645996
86,0.6340530183130314,0.6931471824645996
87,0.6339140406486752,0.6931471824645996
88,0.6339110466354874,0.6931471824645996
89,0.6339561296980737,0.6931471824645996
90,0.6339739854019546,0.6931471824645996
91,0.6339382166562227,0.6931471824645996
92,0.6339157128081128,0.6931471824645996
93,0.6339488810829376,0.6931471824645996
94,0.6339389749151522,0.6931471824645996
95,0.6339542670519258,0.6931471824645996
96,0.633980545145973,0.6931471824645996
97,0.6339154509181504,0.6931471824645996
98,0.6339650969043849,0.6931471824645996
99,0.6339733780090077,0.6931471824645996
